rank,name,position,team,notes
1,Patrick Mahomes,QB,KC,Elite QB with rushing upside
2,Travis Kelce,TE,KC,Top TE in fantasy
3,Tyreek Hill,WR,MIA,Speed demon big play threat
4,Justin Jefferson,WR,MIN,Elite route runner
5,Christian McCaffrey,RB,SF,Best all-around RB
6,Josh Allen,QB,BUF,Dual threat QB
7,Davante Adams,WR,LV,Elite route runner
8,Derrick Henry,RB,TEN,Volume workhorse
9,Stefon Diggs,WR,BUF,Consistent target monster
10,Austin Ekeler,RB,LAC,PPR machine
11,CeeDee Lamb,WR,DAL,WR1 upside
12,Ja'Marr Chase,WR,CIN,Big play ability
13,Saquon Barkley,RB,NYG,Bounce back candidate
14,Nick Chubb,RB,CLE,Elite runner
15,Jalen Hurts,QB,PHI,Rushing floor
16,A.J. Brown,WR,PHI,Physical receiver
17,Mark Andrews,TE,BAL,TE2 overall
18,Tony Pollard,RB,DAL,Explosive plays
19,Amon-Ra St. Brown,WR,DET,Target hog
20,Jonathan Taylor,RB,IND,Workhorse back
